status,card_present_flag,account,long_lat,txn_description,first_name,balance,date,gender,age,merchant_state,extraction,amount,transaction_id,customer_id,movement,month,dayofweek,hour,category
authorized,1.0,ACC-958000567,130.90 -12.37,POS,Sandra,486.68,2018-08-01,F,34,NT,14:19:28,22.25,c9ff96e92ff4416383ce3cba52c211f4,CUS-4142663097,debit,8,2,14,Purchase
authorized,1.0,ACC-1037050564,153.10 -27.66,SALES-POS,Rhonda,2029.05,2018-08-01,F,40,NSW,14:28:14,11.05,353c30ef66e345059a22305b36f138a2,CUS-1614226872,debit,8,2,14,Purchase
authorized,1.0,ACC-1710017148,150.82 -34.01,POS,Michelle,1609.16,2018-08-01,F,19,NSW,14:37:01,16.18,927d07bdbeb743ebab2865f86132cd99,CUS-883482547,debit,8,2,14,Purchase
authorized,0.0,ACC-602667573,151.23 -33.96,SALES-POS,Michael,429.2,2018-08-01,M,40,NSW,14:45:47,11.46,06232e1cf77744ccb2ecb302de8dadc3,CUS-2031327464,debit,8,2,14,Purchase
posted,n/a,ACC-2305712452,138.61 -34.89,PAYMENT,Debra,86.91,2018-08-01,F,18,n/a,15:00:00,36.0,caff6e7621094e3585454db87edfd984,CUS-1842679196,debit,8,2,15,Others
posted,n/a,ACC-38923874,151.27 -33.90,PAYMENT,Ryan,28453.87,2018-08-01,M,38,n/a,15:00:00,35.0,e383af7f43bb4c8480def9709a689e98,CUS-3249305314,debit,8,2,15,Others
authorized,0.0,ACC-819621312,145.04 -37.85,POS,Michele,86.3,2018-08-01,F,30,VIC,15:02:21,5.29,6cf7fafedd0b4a30bc1b00023cbee2d7,CUS-1271030853,debit,8,2,15,Purchase
authorized,1.0,ACC-1710017148,150.82 -34.01,SALES-POS,Michelle,1602.58,2018-08-01,F,19,NSW,15:08:34,6.58,0b0be6179db945629804267253f52d4d,CUS-883482547,debit,8,2,15,Purchase
authorized,1.0,ACC-1973887809,115.78 -31.90,SALES-POS,Antonio,713.56,2018-08-01,M,26,WA,15:27:12,16.03,fff1c10f94b74ad78176503e32accb90,CUS-1646621553,debit,8,2,15,Purchase
authorized,1.0,ACC-1516130869,130.84 -12.45,POS,Jessica,143.4,2018-08-01,F,21,NT,15:33:24,32.41,a9f8f0c8aefc4b7fbd8c659b703d08bc,CUS-325142416,debit,8,2,15,Purchase
authorized,1.0,ACC-966140392,147.08 -37.97,SALES-POS,Joseph,750.75,2018-08-01,M,21,VIC,15:39:37,12.89,afdd21bfccd949c9b24480909c86de1e,CUS-537508723,debit,8,2,15,Purchase
authorized,1.0,ACC-1973887809,115.78 -31.90,POS,Antonio,697.46,2018-08-01,M,26,NSW,15:45:50,16.1,aadd1e78dc7f49f3b349c52d7c0219ed,CUS-1646621553,debit,8,2,15,Purchase
authorized,1.0,ACC-1056639002,145.03 -37.91,SALES-POS,Michael,39595.08,2018-08-01,M,22,VIC,15:52:02,39.92,bc6ef7e90d3a4b479e881b68d68eedf5,CUS-3462882033,debit,8,2,15,Purchase
authorized,1.0,ACC-1279356312,144.79 -37.73,POS,Tyler,1082.64,2018-08-01,M,44,VIC,15:58:15,8.1,6dfe62109c534a1d9cb76b57d703e7fe,CUS-1892177589,debit,8,2,15,Purchase
posted,n/a,ACC-4065652575,115.81 -31.82,PAYMENT,Lucas,2335.35,2018-08-01,M,21,n/a,16:00:00,55.0,726f54003e2e460ca39707aede401ab6,CUS-1117979751,debit,8,2,16,Others
posted,n/a,ACC-3485804958,138.52 -35.01,PAY/SALARY,Jessica,16433.32,2018-08-01,F,34,n/a,16:00:00,3903.73,cf378669537f46e4acee7321fa8accb1,CUS-1196156254,credit,8,2,16,Salary
posted,n/a,ACC-1799207998,150.68 -33.79,PAYMENT,Susan,8.06,2018-08-01,F,20,n/a,16:00:00,35.0,1b87da4cd76d4bbc96c64e9935253f66,CUS-164374203,debit,8,2,16,Others
posted,n/a,ACC-1973887809,115.78 -31.90,PAY/SALARY,Antonio,1796.37,2018-08-01,M,26,n/a,16:00:00,1098.91,00e97a9be9654405bb44f96e748b3ace,CUS-1646621553,credit,8,2,16,Salary
posted,n/a,ACC-4059612845,130.98 -12.49,PAY/SALARY,Jonathan,50383.16,2018-08-01,M,38,n/a,16:00:00,2647.38,794ef124f66645e68d0707ef0a544b50,CUS-495599312,credit,8,2,16,Salary
authorized,1.0,ACC-1608363396,151.22 -33.87,POS,Robert,1691.91,2018-08-01,M,20,NSW,16:12:00,13.52,0ae06c9043b94ad19fde3dd4524a738b,CUS-2688605418,debit,8,2,16,Purchase
authorized,0.0,ACC-1799207998,150.68 -33.79,POS,Susan,43.06,2018-08-01,F,20,NSW,16:28:40,76.82,954d5cc3ef1c4dbe96219af4ae7d7b5a,CUS-164374203,debit,8,2,16,Purchase
authorized,0.0,ACC-3879258709,143.83 -37.66,POS,Natasha,186344.95,2018-08-01,F,40,VIC,16:45:20,26.91,1eb22646ff724bfb9d3f3b8108abf785,CUS-527400765,debit,8,2,16,Purchase
posted,n/a,ACC-819621312,145.04 -37.85,PAY/SALARY,Michele,1244.45,2018-08-01,F,30,n/a,17:00:00,1158.15,148a346f380948cfa1ee8e5166b56a6e,CUS-1271030853,credit,8,2,17,Salary
posted,n/a,ACC-2920611728,144.96 -37.76,PAY/SALARY,Tyler,1969.05,2018-08-01,M,69,n/a,17:00:00,1043.12,360a8968ef944c9e91ee1f72a9759aec,CUS-1388323263,credit,8,2,17,Salary
posted,n/a,ACC-2901672282,255.00 -573.00,PAYMENT,Daniel,1162.08,2018-08-01,M,22,n/a,17:00:00,33.0,c539e04478c94bb2b48af6e0069a011b,CUS-1617121891,debit,8,2,17,Others
posted,n/a,ACC-1799207998,150.68 -33.79,PAY/SALARY,Susan,1403.55,2018-08-01,F,20,n/a,17:00:00,1395.49,9767953f8ae94826aa145d6cac0be371,CUS-164374203,credit,8,2,17,Salary
posted,n/a,ACC-1349834573,145.17 -37.84,PAY/SALARY,Matthew,7094.77,2018-08-01,M,39,n/a,17:00:00,3071.14,8c993ac0426d4f66a0b6322b4e56507c,CUS-1790886359,credit,8,2,17,Salary
posted,n/a,ACC-4163822186,149.03 -34.97,PAYMENT,Karen,3021.94,2018-08-01,F,26,n/a,17:00:00,50.0,2aebc7593cb842b49df7313c3a650725,CUS-2630892467,debit,8,2,17,Others
posted,n/a,ACC-958000567,130.90 -12.37,PAYMENT,Sandra,300.09,2018-08-01,F,34,n/a,17:00:00,168.0,dab9c8d9c4024e3eb4dfd3c86f1e3578,CUS-4142663097,debit,8,2,17,Others
authorized,0.0,ACC-854938045,147.63 -22.84,POS,James,6941.78,2018-08-01,M,28,NSW,17:01:07,22.59,77e20a08f52446c3b903a215949968d3,CUS-4023861240,debit,8,2,17,Purchase
authorized,1.0,ACC-1279356312,144.79 -37.73,SALES-POS,Tyler,1067.36,2018-08-01,M,44,VIC,17:10:33,15.28,c06d646beb4b4bb090caf460a6c32f4e,CUS-1892177589,debit,8,2,17,Purchase
authorized,1.0,ACC-574997646,150.79 -33.64,SALES-POS,Mackenzie,189.55,2018-08-01,F,18,SA,17:20:00,5.62,91e5965b88db48109b49395233411ddc,CUS-586638664,debit,8,2,17,Purchase
authorized,1.0,ACC-1443681913,150.92 -33.77,SALES-POS,Ryan,492.41,2018-08-01,M,31,NSW,17:38:52,93.79,d60f5196641f43debf50a0c04de03c8c,CUS-3129499595,debit,8,2,17,Purchase
authorized,1.0,ACC-1650504218,145.01 -37.93,SALES-POS,Marissa,2025.72,2018-08-01,F,23,VIC,17:48:18,14.86,b16ca12e31304618bd133f80cf64c331,CUS-2500783281,debit,8,2,17,Purchase
authorized,1.0,ACC-958000567,130.90 -12.37,SALES-POS,Sandra,468.09,2018-08-01,F,34,NT,17:57:44,18.59,450bda471a7649898a3b13e4fad158db,CUS-4142663097,debit,8,2,17,Purchase
posted,n/a,ACC-2153562714,116.00 -31.88,PAYMENT,Linda,860.46,2018-08-01,F,24,n/a,18:00:00,46.0,daebc880287f457d9389595d92d8951a,CUS-423725039,debit,8,2,18,Others
authorized,1.0,ACC-1598451071,153.41 -27.95,POS,Diana,1006.85,2018-08-01,F,26,QLD,18:19:29,10.67,cd0113426970425a8524e55f4079408f,CUS-2487424745,debit,8,2,18,Purchase
authorized,0.0,ACC-90814749,151.68 -32.98,SALES-POS,Christopher,6022.68,2018-08-01,M,35,SA,18:45:07,19.58,3b8ac93bc7cd4d24a288882782a805e6,CUS-1896554896,debit,8,2,18,Purchase
posted,n/a,ACC-1349834573,145.17 -37.84,PAYMENT,Matthew,7046.77,2018-08-01,M,39,n/a,19:00:00,48.0,29e8473f761e49a4a9c0a03b6542afec,CUS-1790886359,debit,8,2,19,Others
authorized,1.0,ACC-964839203,146.92 -36.07,SALES-POS,Michael,27984.9,2018-08-01,M,21,NSW,19:04:09,26.75,361e4d9928094aafa77d0a1e7e32b731,CUS-2059096722,debit,8,2,19,Purchase
authorized,1.0,ACC-80388494,144.97 -37.42,POS,Dustin,823.53,2018-08-01,M,28,VIC,19:14:03,9.21,44f99c5dcf804f14842c2a9a957f3298,CUS-1140341822,debit,8,2,19,Purchase
authorized,1.0,ACC-3485804958,138.52 -35.01,POS,Jessica,16421.78,2018-08-01,F,34,NSW,19:23:57,11.54,d08a764ae0a5487b85cd08cf1d1e7378,CUS-1196156254,debit,8,2,19,Purchase
authorized,0.0,ACC-1598451071,153.41 -27.95,SALES-POS,Diana,995.57,2018-08-01,F,26,QLD,19:33:51,11.28,9a13829c885344c3ad6c6f1a2d30d1bc,CUS-2487424745,debit,8,2,19,Purchase
authorized,1.0,ACC-964839203,146.92 -36.07,SALES-POS,Michael,27953.53,2018-08-01,M,21,QLD,19:43:45,31.37,219c4cbb3c4a4b5f92d1f83f1ad1c15b,CUS-2059096722,debit,8,2,19,Purchase
authorized,1.0,ACC-3881031190,149.19 -21.15,POS,Richard,445.04,2018-08-01,M,37,QLD,19:53:39,23.86,453c37a1b37a44ce92b932420a70769f,CUS-3201519139,debit,8,2,19,Purchase
posted,n/a,ACC-2171593283,146.94 -36.04,PAYMENT,Fernando,4331.5,2018-08-01,M,19,n/a,20:00:00,17.0,5ffdc96d3c9f4335b3c58b8876bde9ed,CUS-2317998716,debit,8,2,20,Others
posted,n/a,ACC-1650504218,145.01 -37.93,PAYMENT,Marissa,1992.72,2018-08-01,F,23,n/a,20:00:00,33.0,5b8a8ad7f1f24ccd9fd04696bc43aaf8,CUS-2500783281,debit,8,2,20,Others
posted,n/a,ACC-182446574,116.06 -32.00,INTER BANK,Tonya,117.08,2018-08-01,F,27,n/a,20:00:00,33.0,11493f0afc4348139f996e154f61a98b,CUS-3026014945,debit,8,2,20,Others
posted,n/a,ACC-4281711154,144.98 -37.84,PHONE BANK,Eric,35322.36,2018-08-01,M,42,n/a,20:00:00,36.0,c8658e7c726f45ca8b3c3c78d1554700,CUS-3151318058,debit,8,2,20,Others
authorized,1.0,ACC-1037050564,153.10 -27.66,SALES-POS,Rhonda,1963.94,2018-08-01,F,40,QLD,20:09:28,65.11,fe3610e9d3ab418bba2ae7a62c56bc97,CUS-1614226872,debit,8,2,20,Purchase
authorized,0.0,ACC-854938045,147.63 -22.84,SALES-POS,James,6924.65,2018-08-01,M,28,TAS,20:35:47,17.13,414f37db1e6143fbbf24501ce457c161,CUS-4023861240,debit,8,2,20,Purchase
